Part Type code,3-letter part code,Location code,Part-location,Part name (EN),Location (EN),Condition label (EN),Severity (1 to 5),Repair label (EN),COST BEFORE TAX,Part name (FR),Location (FR),Condition label (FR),Réparation (FR),Condition code, Repair code,Nomenclature,Angle,VehicleType,Order Front - left - rear -right,Order Front - right - rear - left
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Scuffed,SEV1,Polish,0,Trappe porte recharge,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Scratched,SEV3,Painting,0,Trappe porte recharge,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Trappe porte recharge,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Slightly damaged,SEV2,Quick repair,0,Trappe porte recharge,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Accidented,SEV5,Replacement,0,Trappe porte recharge,Avant,Accidenté,Remplacement,accidented,replacement,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Paintwork needed,SEV3,Painting,0,Trappe porte recharge,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-16-17,,10,80
carbody,TPR,AV,TPRAV,Charging door hatch,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,Trappe porte recharge,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,10,80
carbody,CLR,AV,CLRAV,Grille,Front,scuffed,SEV1,Polish,0,CALANDRE,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,scratched,SEV3,Painting,0,CALANDRE,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,damaged,SEV4,Sheet Metal Work and Painting,0,CALANDRE,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,slightly damaged,SEV3,Quick repair,0,CALANDRE,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,accidented,SEV5,Replacement,0,CALANDRE,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,Paintwork needed,SEV3,Painting,0,CALANDRE,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-16-17,,20,110
carbody,CLR,AV,CLRAV,Grille,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,CALANDRE,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-16-17,,20,110
carbody,OTH,AV,OTHAV,Other (carbody),Front,scuffed,SEV1,Polish,0,AUTRE (CARROSSERIE),Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-16-17,,30,180
carbody,OTH,AV,OTHAV,Other (carbody),Front,scratched,SEV3,Painting,0,AUTRE (CARROSSERIE),Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-16-17,,30,180
carbody,OTH,AV,OTHAV,Other (carbody),Front,damaged,SEV4,Sheet Metal Work and Painting,0,AUTRE (CARROSSERIE),Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,30,180
carbody,OTH,AV,OTHAV,Other (carbody),Front,slightly damaged,SEV3,Quick repair,0,AUTRE (CARROSSERIE),Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-16-17,,30,180
cabin,BDA,AR,,Air vents,Rear,Slightly damaged,SEV1,Quick repair,0,Bouches d’aération,Arrière,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,7-8-9-10-11,,,
cabin,BDA,AR,,Air vents,Rear,Damaged,SEV3,Repair,0,Bouches d’aération,Arrière,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,7-8-9-10-11,,,
cabin,BDA,AR,,Air vents,Rear,Soiled,SEV2,Cleaning,0,Bouches d’aération,Arrière,Interior Soiled,Sali,interior_soiled,important_washing,2025,7-8-9-10-11,,,
cabin,BDA,AR,,Air vents,Rear,Missing,SEV5,Replacement,0,Bouches d’aération,Arrière,Pièce manquante,Remplacement,interior_missing,replacement,2025,7-8-9-10-11,,,
carbody,OTH,AV,OTHAV,Other (carbody),Front,accidented,SEV5,Replacement,0,AUTRE (CARROSSERIE),Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,30,180
carbody,INS,AV,INSAV,Badge,Front,damaged,SEV4,Sheet Metal Work and Painting,0,INSIGNE (SIGLE),Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-16-17,,40,20
carbody,INS,AV,INSAV,Badge,Front,accidented,SEV5,Replacement,0,INSIGNE (SIGLE),Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-16-17,,40,20
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Scuffed,SEV1,Polish,0,Capuchon remorquage,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Scratched,SEV3,Painting,0,Capuchon remorquage,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Capuchon remorquage,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Accidented,SEV5,Replacement,0,Capuchon remorquage,Avant,Accidenté,Remplacement,accidented,replacement,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Paintwork needed,SEV3,Painting,0,Capuchon remorquage,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,CPR,AV,CPRAV,Bumper Cover,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,Capuchon remorquage,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,60,50
carbody,PRC,AV,PRCAV,Bumper,Front,scuffed,SEV1,Polish,0,PARE-CHOC,Avant,Éraflé,Polish,scuffed,polish,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,scratched,SEV3,Painting,0,PARE-CHOC,Avant,Rayé,Peinture,scratched,painting,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,damaged,SEV4,Sheet Metal Work and Painting,0,PARE-CHOC,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,slightly damaged,SEV3,Quick repair,0,PARE-CHOC,Avant,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,accidented,SEV5,Replacement,0,PARE-CHOC,Avant,Accidenté,Remplacement,accidented,replacement,2025,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,Paintwork needed,SEV3,Painting,0,PARE-CHOC,Avant,A repeindre,Peinture,paintwork_required,painting,2026,0-1-2-3-4-5-15-16-17,,70,40
carbody,PRC,AV,PRCAV,Bumper,Front,Rust spotted,SEV4,Sheet Metal Work and Painting,0,PARE-CHOC,Avant,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,70,40
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Scuffed,SEV1,Polish,0,Panneau de pare-chocs,Avant,Éraflé,Polish,scuffed,polish,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Scratched,SEV3,Painting,0,Panneau de pare-chocs,Avant,Rayé,Peinture,scratched,painting,2026,0-1-2-3-4-5-15-16-17,,80,210
carbody,PNP,AV,PNPAV,Bumper Panel,Front,Damaged,SEV4,Sheet Metal Work and Painting,0,Panneau de pare-chocs,Avant,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2026,0-1-2-3-4-5-15-16-17,,80,210
